ILA-N-236	CMRDM-II-ANTIOCH-13
ILA-N-237	CMRDM-II-ANTIOCH-14
ILA-N-238	CMRDM-II-ANTIOCH-15
ILA-N-239	CMRDM-II-ANTIOCH-16
ILA-N-240	CMRDM-II-ANTIOCH-17
ILA-N-241	CMRDM-II-ANTIOCH-18
ILA-N-242	CMRDM-II-ANTIOCH-19
ILA-N-243	CMRDM-II-ANTIOCH-20
ILA-N-244	CMRDM-II-ANTIOCH-21
ILA-N-245	CMRDM-II-ANTIOCH-22
ILA-N-246	CMRDM-II-ANTIOCH-23
ILA-N-247	CMRDM-II-ANTIOCH-24
ILA-N-248	CMRDM-II-ANTIOCH-25
ILA-N-249	CMRDM-II-ANTIOCH-26
ILA-N-250	CMRDM-II-ANTIOCH-27
ILA-N-251	CMRDM-II-ANTIOCH-28
ILA-N-252	CMRDM-II-ANTIOCH-29
ILA-N-253	CMRDM-II-ANTIOCH-30
ILA-N-254	CMRDM-II-ANTIOCH-31
ILA-N-255	CMRDM-II-ANTIOCH-32
ILA-N-256	CMRDM-II-ANTIOCH-33
ILA-N-257	CMRDM-II-ANTIOCH-34
ILA-N-258	CMRDM-II-ANTIOCH-35
ILA-N-259	CMRDM-II-ANTIOCH-36
ILA-N-260	CMRDM-II-ANTIOCH-37
ILA-N-261	CMRDM-II-ANTIOCH-38
ILA-N-262	CMRDM-II-ANTIOCH-39
ILA-N-263	CMRDM-II-ANTIOCH-40
ILA-N-264	CMRDM-II-ANTIOCH-41
ILA-N-265	CMRDM-II-ANTIOCH-42
ILA-N-266	CMRDM-II-ANTIOCH-43
ILA-N-267	CMRDM-II-ANTIOCH-44
ILA-N-268	CMRDM-II-ANTIOCH-45
ILA-N-269	CMRDM-II-ANTIOCH-46
ILA-N-270	CMRDM-II-ANTIOCH-47
ILA-N-271	CMRDM-II-ANTIOCH-48
ILA-N-272	CMRDM-II-ANTIOCH-49
ILA-N-273	CMRDM-II-ANTIOCH-50
ILA-N-274	CMRDM-II-ANTIOCH-51
ILA-N-275	CMRDM-II-ANTIOCH-52
ILA-N-276	CMRDM-II-ANTIOCH-53
ILA-N-277	CMRDM-II-ANTIOCH-54
ILA-N-278	CMRDM-II-ANTIOCH-55
ILA-N-279	CMRDM-II-ANTIOCH-56
ILA-N-280	CMRDM-II-ANTIOCH-57
ILA-N-281	CMRDM-II-ANTIOCH-58
ILA-N-282	CMRDM-II-ANTIOCH-59
ILA-N-283	CMRDM-II-ANTIOCH-60
ILA-N-284	CMRDM-II-APOLLONIA-PISIDIAE-1
ILA-N-285	CMRDM-II-APOLLONIA-PISIDIAE-2
ILA-N-286	CMRDM-II-ARIASSUS-1
ILA-N-287	CMRDM-II-BARIS-1
ILA-N-288	CMRDM-II-BARIS-2
ILA-N-289	CMRDM-II-BARIS-3
ILA-N-290	CMRDM-II-BARIS-4
ILA-N-291	CMRDM-II-BARIS-5
ILA-N-292	CMRDM-II-BARIS-6
ILA-N-293	CMRDM-II-BARIS-7
