dicitura,occorrenze,markup_interno,schede_ILA
"Lane, CMRDM I 185",1,,ILA-173
"Hardie, JHS, XXXII, 1912, p. 126, no. 7 and fig. 9",1,,ILA-173
"Lane, I, p. 37, no. 7",1,,ILA-173
"Lane, CMRDM I 186",1,,ILA-174
"Hardie, JHS, XXXII, 1912, p. 126, no. 8 and fig. 9",1,,ILA-174
"Lane, I, p. 37, no. 8",1,,ILA-174
"Lane, CMRDM I 187",1,,ILA-175
"Hardie, JHS, XXXII, 1912, p. 127, no. 9 and fig. 9",1,,ILA-175
"Lane, I, p. 37, no. 9",1,,ILA-175
"Lane, CMRDM I 188",1,,ILA-176
"Hardie, JHS, XXXII, 1912, p. 127, no. 10 and fig. 9",1,,ILA-176
"Lane, I, p. 37, no. 10",1,,ILA-176
"Lane, CMRDM I 189",1,,ILA-177
"Hardie, JHS, XXXII, 1912, p. 127, no. 11 and fig. 9",1,,ILA-177
"Lane, I, p. 37, no. 11",1,,ILA-177
"Lane, CMRDM I 190",1,,ILA-178
"Hardie, JHS, XXXII, 1912, p. 127, no. 12 and fig. 9",1,,ILA-178
"Lane, I, p. 37, no. 12",1,,ILA-178
"Lane, CMRDM I 191",1,,ILA-179
"Hardie, JHS, XXXII, 1912, p. 129, no. 13 and fig. 9",1,,ILA-179
"Lane, CMRDM I 192",1,,ILA-180
"Hardie, JHS, XXXII, 1912, p. 129, no. 14 and fig. 10",1,,ILA-180
"Lane, CMRDM I 193",1,,ILA-181
"Hardie, JHS, XXXII, 1912, p. 129, no. 15 and fig. 10",1,,ILA-181
"Ramsay, JRS, VIII, 1918, p. 109",1,,ILA-181
"Lane, CMRDM I 194",1,,ILA-182
"Hardie, JHS, XXXII, 1912, p. 130, no. 16 and fig. 10",1,,ILA-182
"Lane, CMRDM I 195",1,,ILA-183
"Hardie, JHS, XXXII, 1912, p. 130, no. 17 and fig. 10",1,,ILA-183
"Ramsay, Bearing of Recent Discovery, 1915, pp. 376-7, figs. 10-11",1,,ILA-183
"Deissmann, Light from the Ancient East, English ed. 1927, p. 436, figs. 78-9",1,,ILA-183
"SEG, VI, nos. 558-9",1,,ILA-183
"Lane, CMRDM I 196",1,,ILA-184
"Hardie, JHS, XXXII, 1912, p. 130, no. 18 and fig. 10",1,,ILA-184
"Lane, CMRDM I 197",1,,ILA-185
"Hardie, JHS, XXXII, 1912, p. 130, no. 19 and fig. 10",1,,ILA-185
"Lane, CMRDM I 198",1,,ILA-186
"Hardie, JHS, XXXII, 1912, p. 131, no. 20 and fig. 10",1,,ILA-186
"Lane, CMRDM I 199",1,,ILA-187
"Hardie, JHS, XXXII, 1912, p. 131, no. 21 and fig. 11",1,,ILA-187
"Lane, CMRDM I 200",1,,ILA-188
"Hardie, JHS, XXXII, 1912, p. 131, no. 22 and fig. 11",1,,ILA-188
"Lane, CMRDM I 201",1,,ILA-189
"Hardie, JHS, XXXII, 1912, p. 131, no. 23 and fig. 11",1,,ILA-189
"Lane, CMRDM I 202",1,,ILA-190
"Hardie, JHS, XXXII, 1912, p. 131, no. 24 and fig. 11",1,,ILA-190
"Lane, CMRDM I 203",1,,ILA-191
"Hardie, JHS, XXXII, 1912, p. 131, no. 25 and fig. 11",1,,ILA-191
"Lane, CMRDM I 204",1,,ILA-192
"Hardie, JHS, XXXII, 1912, p. 132, no. 26 and fig. 11",1,,ILA-192
"Lane, CMRDM I 205",1,,ILA-193
"Hardie, JHS, XXXII, 1912, p. 132, no. 27 and fig. 11",1,,ILA-193
"Lane, CMRDM I 206",1,,ILA-194
"Hardie, JHS, XXXII, 1912, p. 132, no. 28 and fig. 11",1,,ILA-194
"Lane, CMRDM I 207",1,,ILA-195
"Hardie, JHS, XXXII, 1912, p. 132, no. 29 and fig. 11",1,,ILA-195
"Lane, CMRDM I 208",1,,ILA-196
"Hardie, JHS, XXXII, 1912, p. 132, no. 30 and fig. 12",1,,ILA-196
"Lane, CMRDM I 209",1,,ILA-197
"Hardie, JHS, XXXII, 1912, p. 133, no. 31 and fig. 12",1,,ILA-197
"Lane, CMRDM I 210",1,,ILA-198
"Hardie, JHS, XXXII, 1912, p. 133, no. 32 and fig. 12",1,,ILA-198
"Lane, CMRDM I 211",1,,ILA-199
"Hardie, JHS, XXXII, 1912, p. 133, no. 33 and fig. 12",1,,ILA-199
"Lane, CMRDM I 212",1,,ILA-200
"Hardie, JHS, XXXII, 1912, p. 133, no. 34 and fig. 12",1,,ILA-200
"Lane, CMRDM I 213",1,,ILA-201
"Hardie, JHS, XXXII, 1912, p. 135, no. 35 and fig. 12",1,,ILA-201
"Lane, CMRDM I 214",1,,ILA-202
"Hardie, JHS, XXXII, 1912, p. 135, no. 36 and fig. 12",1,,ILA-202
"Lane, CMRDM I 215",1,,ILA-203
"Hardie, JHS, XXXII, 1912, p. 135, no. 37 and fig. 12",1,,ILA-203
"Lane, CMRDM I 216",1,,ILA-204
"Hardie, JHS, XXXII, 1912, p. 135, no. 38 and fig. 12",1,,ILA-204
"Lane, CMRDM I 217",1,,ILA-205
"Hardie, JHS, XXXII, 1912, p. 135, no. 39 and fig. 13",1,,ILA-205
"Lane, CMRDM I 218",1,,ILA-206
"Hardie, JHS, XXXII, 1912, p. 135, no. 40 and fig. 13",1,,ILA-206
"Lane, CMRDM I 219",1,,ILA-207
"Hardie, JHS, XXXII, 1912, p. 135, no. 41 and fig. 13",1,,ILA-207
"Lane, CMRDM I 220",1,,ILA-208
"Hardie, JHS, XXXII, 1912, p. 136, no. 42 and fig. 13",1,,ILA-208
"Lane, CMRDM I 221",1,,ILA-209
"Hardie, JHS, XXXII, 1912, p. 136, no. 43 and fig. 13",1,,ILA-209
"Lane, CMRDM I 222",1,,ILA-210
"Hardie, JHS, XXXII, 1912, p. 136, no. 44 and fig. 13",1,,ILA-210
"Lane, CMRDM I 223",1,,ILA-211
"Hardie, JHS, XXXII, 1912, p. 137, no. 45 and fig. 13",1,,ILA-211
"Lane, CMRDM I 224",1,,ILA-212
"Hardie, JHS, XXXII, 1912, p. 136, no. 46 and fig. 13",1,,ILA-212
"Lane, CMRDM I 225",1,,ILA-213
"Hardie, JHS, XXXII, 1912, p. 136, no. 47 and fig. 13",1,,ILA-213
"Lane, CMRDM I 226",1,,ILA-214
"Hardie, JHS, XXXII, 1912, p. 136, no. 48 and fig. 13",1,,ILA-214
"Lane, CMRDM I 227",1,,ILA-215
"Hardie, JHS, XXXII, 1912, p. 138, nos. 49 and 50, and fig. 14",1,,ILA-215
"Lane, CMRDM I 228",1,,ILA-216
"Hardie, JHS, XXXII, 1912, p. 139, no. 51 and fig. 14",1,,ILA-216
"Lane, CMRDM I 229",1,,ILA-217
"Hardie, JHS, XXXII, 1912, p. 139, no. 52 and fig. 14",1,,ILA-217
"Lane, CMRDM I 230",1,,ILA-218
"Hardie, JHS, XXXII, 1912, p. 139, no. 53 and fig. 14",1,,ILA-218
"Lane, CMRDM I 231",1,,ILA-219
"Hardie, JHS, XXXII, 1912, p. 139, no. 54 and fig. 14",1,,ILA-219
"Lane, CMRDM I 232",1,,ILA-220
"Hardie, JHS, XXXII, 1912, p. 139, no. 55 and fig. 14",1,,ILA-220
"Lane, CMRDM I 233",1,,ILA-221
"Hardie, JHS, XXXII, 1912, p. 140, no. 56 and fig. 14",1,,ILA-221
"Lane, CMRDM I 234",1,,ILA-222
"Hardie, JHS, XXXII, 1912, p. 140, no. 57 and fig. 14",1,,ILA-222
"Lane, CMRDM I 235",1,,ILA-223
"Hardie, JHS, XXXII, 1912, p. 140, no. 58 and fig. 14",1,,ILA-223
"Lane, CMRDM I 236",1,,ILA-224
"Hardie, JHS, XXXII, 1912, p. 141, no. 59 and fig. 15",1,,ILA-224
"Lane, CMRDM I 237",1,,ILA-225
"Hardie, JHS, XXXII, 1912, p. 141, no. 60 and fig. 15",1,,ILA-225
"Lane, CMRDM I 238",1,,ILA-226
"Hardie, JHS, XXXII, 1912, p. 141, no. 61 and fig. 15",1,,ILA-226
"Lane, CMRDM I 239",1,,ILA-227
"Hardie, JHS, XXXII, 1912, p. 141, no. 62 and fig. 15",1,,ILA-227
"Lane, CMRDM I 240",1,,ILA-228
"Hardie, JHS, XXXII, 1912, p. 141, no. 63 and fig. 15",1,,ILA-228
"Lane, CMRDM I 241",1,,ILA-229
"Hardie, JHS, XXXII, 1912, p. 141, no. 64 and fig. 15",1,,ILA-229
"Lane, CMRDM I 242",1,,ILA-230
"Hardie, JHS, XXXII, 1912, p. 141, no. 65 and fig. 15",1,,ILA-230
"Lane, CMRDM I 243",1,,ILA-231
"Hardie, JHS, XXXII, 1912, p. 142, no. 66 and fig. 15",1,,ILA-231
"Lane, CMRDM I 244",1,,ILA-232
"Hardie, JHS, XXXII, 1912, p. 142, no. 67 and fig. 15",1,,ILA-232
"Lane, CMRDM I 245",1,,ILA-233
"Hardie, JHS, XXXII, 1912, p. 143, no. 68 and fig. 16",1,,ILA-233
"Lane, CMRDM I 246",1,,ILA-234
"Hardie, JHS, XXXII, 1912, p. 143, no. 69 and fig. 17",1,,ILA-234
"Lane, CMRDM I 247",1,,ILA-235
"Hardie, JHS, XXXII, 1912, p. 143, no. 70 and fig. 18",1,,ILA-235
"Lane, CMRDM I 248",1,,ILA-236
"Ramsay, Bearing, p. 374, fig. 9",1,,ILA-236
"Lane, CMRDM I 249",1,,ILA-237
"Ramsay, Social Basis, p. 143, no. 149",1,,ILA-237
"Lane, CMRDM I 250",1,,ILA-238
"Ramsay, Social Basis, p. 143, no. 150",1,,ILA-238
"Lane, CMRDM I 251",1,,ILA-239
"Ramsay, Social Basis, p. 23, no. 10",1,,ILA-239
"Lane, CMRDM I 252",1,,ILA-240
"Pace, Annuario, III, 1916-20, pp. 57-58, no. 51",1,,ILA-240
"SEG, II, 1925, no. 750",1,,ILA-240
"Lane, CMRDM I 253",1,,ILA-241
"B. Levick, AS, XVII, 1967, p. 117, no. 46",1,,ILA-241
"L. Robert, REG, LXXXI, 1968, p. 529, no. 540",1,,ILA-241
"Lane, CMRDM I 254",1,,ILA-242
"Levick, AS, XVII, 1967, p. 118, no. 47 and Pl. XIIIa",1,,ILA-242
"L. Robert, REG, LXXXI, 1968, loc. cit.",1,,ILA-242
"Lane, CMRDM I 255",1,,ILA-243
"Sarà trattata a lungo in un articolo di prossima pubblicazione di Barbara Levick (Lane, I, p. 140)",1,,ILA-243
"Lane, CMRDM I 256",1,,ILA-244
"Ramsay, JRS, VIII, 1918, p. 118",1,,ILA-244
"Lane, I, p. 39, note 143",1,,ILA-244
"Lane, CMRDM I 257",1,,ILA-245
"Ramsay, JRS, VIII, 1918, loc. cit.",1,,ILA-245
"Lane, CMRDM I 258",1,,ILA-246
"Ramsay, JRS, VIII, 1918, p. 133",1,,ILA-246
"Lane, CMRDM I 259",1,,ILA-247
"Inedita (Lane, I, p. 141: ""Unpublished"")",1,,ILA-247
"Lane, CMRDM I 261",1,,ILA-248
"Lane, I, p. 37, no. 38 and Pl. V, no. 2",1,,ILA-248
"Lane, CMRDM I 262",1,,ILA-249
"Lane, I, p. 37, no. 39 and Pl. V, no. 3",1,,ILA-249
"Lane, CMRDM I 263",1,,ILA-250
"Lane, I, p. 37, no. 41 and Pl. V, no. 4",1,,ILA-250
"Lane, CMRDM I 264",1,,ILA-251
"Lane, I, p. 37, no. 42 and Pl. VI, no. 1",1,,ILA-251
"Lane, CMRDM I 265",1,,ILA-252
"Lane, I, p. 38, no. 43 and Pl. VI, no. 2",1,,ILA-252
"Lane, CMRDM I 266",1,,ILA-253
"Lane, I, p. 37, no. 40",1,,ILA-253
"Lane, CMRDM I 267",1,,ILA-254
"Lane, CMRDM I 268",1,,ILA-255
"Lane, CMRDM I 269",1,,ILA-256
"Lane, CMRDM I 270",1,,ILA-257
"Lane, CMRDM I 271",1,,ILA-258
"Lane, I, p. 38, no. 45",1,,ILA-258
"Lane, CMRDM I 272",1,,ILA-259
"Lane, CMRDM I 273",1,,ILA-260
"Lane, CMRDM I 274",1,,ILA-261
"Lane, CMRDM I 275",1,,ILA-262
"Lane, CMRDM I 276",1,,ILA-263
"Lane, CMRDM I 277",1,,ILA-264
"Lane, CMRDM I 278",1,,ILA-265
"Lane, CMRDM I 279",1,,ILA-266
"Lane, CMRDM I 280",1,,ILA-267
"Lane, CMRDM I 281",1,,ILA-268
"Lane, CMRDM I 282",1,,ILA-269
"Lane, CMRDM I 283",1,,ILA-270
"Lane, CMRDM I 284",1,,ILA-271
"Lane, CMRDM I 285",1,,ILA-272
"Lane, CMRDM I 286",1,,ILA-273
"Lane, CMRDM I 287",1,,ILA-274
"Lane, CMRDM I 288",1,,ILA-275
"Lane, CMRDM I 289",1,,ILA-276
"Lane, CMRDM I 290",1,,ILA-277
"Lane, CMRDM I 291",1,,ILA-278
"Lane, CMRDM I 292",1,,ILA-279
"Lane, CMRDM I 293",1,,ILA-280
"Lane, CMRDM I 294",1,,ILA-281
"Lane, CMRDM I 20",1,,ILA-282
"B. Janó, Archeologiai Értesitő, XXXII, 1912, p. 50",1,,ILA-282
"Archäologischer Anzeiger, 1912, col. 530-1",1,,ILA-282
"C. Daicoviciu, Dacia, VII-VIII, 1937-40, p. 310",1,,ILA-282
"Année Épigraphique, 1944, no. 38",1,,ILA-282
"Lane, I, p. 12, C; Berytus, XVII, 1967, p. 44, no. 5 (Lane II)",1,,ILA-282
"Lane, CMRDM I 14",1,,ILA-283
"A. Andreiomenou, Archaiologikon Deltion, XVI, 1960, ii, p. 150",1,,ILA-283
"Lane, I, p. 10, no. 1",1,,ILA-283
"Lane, CMRDM I 15",1,,ILA-284
"E.L. Hicks, JHS, VIII, 1887, p. 411, no. 5",1,,ILA-284
"Perdrizet, op. cit., p. 76, note 2",1,,ILA-284
"IG, XII, viii, (1909), 587",1,,ILA-284
"Lane, I, p. 11, no. 2",1,,ILA-284
"Lane, CMRDM I 16",1,,ILA-285
"*Selivanov, Topog. Rod., 1892, p. 131",1,,ILA-285
"IG, XII, i, (1895), 162",1,,ILA-285
"Lane, I, p. 11, no. 3",1,,ILA-285
"Lane, CMRDM I 17",1,,ILA-286
"E. Loewy, Archäologisch-Epigraphische Mitteilungen aus Österreich-Ungarn, X, 1886, p. 219, no. 23",1,,ILA-286
"IG, XII, i, 917",1,,ILA-286
"Lane, I, p. 12, no. 4",1,,ILA-286
"Lane, CMRDM I 18",1,,ILA-287
"A. Hauvette-Bernault, BCH, VI, 1882, p. 345, no. 65",1,,ILA-287
"Perdrizet, BCH, XX, 1896, p. 75, note 2",1,,ILA-287
"*P. Roussel, Les Cultes Égyptiens à Délos, Nancy, 1916, no. 63",1,,ILA-287
"IG, XI, (1927), 1291",1,,ILA-287
"Lane, I, p. 12, no. 5",1,,ILA-287
"J. Marcadé, Au Musée de Délos, Paris, 1969, pp. 399 and 411",1,,ILA-287
"L. Vidman, op. cit., p. 67, no. CE 63",1,,ILA-287
"Lane, CMRDM I 19",1,,ILA-288
"*P. Roussel, op. cit., no. 34",1,,ILA-288
"IG, XI, 1292",1,,ILA-288
"Lane, I, p. 12, no. 6",1,,ILA-288
"J. Marcadé, locc. citt.",1,,ILA-288
"L. Vidman, op. cit., p. 63, no. CE 34",1,,ILA-288
"Lane, CMRDM I 22",1,,ILA-289
"IG, XIV, (1890), 913",1,,ILA-289
"Lane, I, p. 13, no. 1",1,,ILA-289
"Lane, CMRDM I 24",1,,ILA-290
"CIL, VI, 500",1,,ILA-290
"F. Cumont, Textes et monuments figurés relatifs aux mystères de Mithra, Brussels, 1899, II, no. 19",1,,ILA-290
"Dessau, ILS, 4148",1,,ILA-290
"M.J. Vermaseren, Corpus Inscriptionum et Monumentorum Religionis Mithriacae, Hague, 1956-60, I, p. 204, no. 513",1,,ILA-290
"Lane, I, p. 13, no. 3",1,,ILA-290
"Lane, CMRDM I 25",1,,ILA-291
"CIL, VI, 501",1,,ILA-291
"Dessau, ILS, 4149",1,,ILA-291
"Lane, I, p. 14, no. 4",1,,ILA-291
"Duthoy, op. cit., p. 14, no. 14",1,,ILA-291
"Lane, CMRDM I 26",1,,ILA-292
"B.M. Apollonj-Ghetti, A. Ferrua, E. Josi, E. Kirschbaum, Esplorazioni sotto la confessione di San Pietro in Vaticano, Vatican City, 1951, pp. 14-15, fig. 2",1,,ILA-292
"Année Épigraphique, 1953, no. 237",1,,ILA-292
"Vermaseren, op. cit., I, p. 165, no. 378",1,,ILA-292
"Lane, I, p. 14, no. 5",1,,ILA-292
"Lane, CMRDM I 27",1,,ILA-293
"Apollonj-Ghetti et al., loc. cit., fig. 3",1,,ILA-293
"Année Épigraphique, 1953, no. 238",1,,ILA-293
"Vermaseren, op. cit., I, p. 205, no. 515",1,,ILA-293
"Lane, I, p. 14, no. 6",1,,ILA-293
"Duthoy, op. cit., p. 24, no. 34",1,,ILA-293
"SEG 41, 1039",1,,ILA-294
"Epigraphica Anatolica 18 (1991), 92, no. 2",1,,ILA-294
"Petzl, Beichtinschr. 38 (in: Die Beichtinschriften im römischen Kleinasien und der Fromme und Gerechte Gott, 1998, 11-13, Abb. 4)",1,,ILA-294
