dicitura,occorrenze,markup_interno,schede_ILA
"Lane, CMRDM I 51",1,,ILA-022
"Drexler, op. cit., col. 2703-4, no. 18",1,,ILA-022
"Mouseion kai Bibliotheke, V, ii, 1885-6, p. 84-5, no. ρος'",1,,ILA-022
"Ramsay, JRS, X, 1889, p. 227, note 2",1,,ILA-022
"Smirnoff, op. cit., pp. 97-8, no. 32",1,,ILA-022
"Perdrizet, op. cit., p. 59, no. 3",1,,ILA-022
"K-P, II Reise, p. 107",1,,ILA-022
"Steinleitner, op. cit., no. 6",1,,ILA-022
"Buckler, ABSA, XXI, 1914-16, pp. 175-80, no. 4",1,,ILA-022
"Lane, I, p. 17, no. 16",1,,ILA-022
"Lane, CMRDM I 52",1,,ILA-023
"Le Bas-Waddington, op. cit., III, i, p. 214, no. 675",1,,ILA-023
"Drexler, op. cit., col. 2702, no. 8",1,,ILA-023
"Lane, I, p. 15, Lydia no. 6",1,,ILA-023
"Lane, CMRDM I 53",1,,ILA-024
"CIG, 3439",1,,ILA-024
"Keppel, op. cit., II, p. 351, no. 6",1,,ILA-024
"C. Texier, Description de l'Asie Mineure, Paris, 1850, I, p. 135, Pl. 51 top",1,,ILA-024
"Le Bas-Waddington, op. cit., III, i, p. 213, no. 668",1,,ILA-024
"Daremberg-Saglio, III, ii, p. 1393, fig. 4662",1,,ILA-024
"Drexler, op. cit., col. 2702, no. 13",1,,ILA-024
"Roscher, Leipzig, Phil.-Hist. Klasse, Berichte, XLIII, 1891, p. 125c, Pl. II bottom",1,,ILA-024
"Perdrizet, op. cit., p. 60, no. 2",1,,ILA-024
"A.B. Cook, Zeus, Cambridge, 1913-40, I, p. 193, fig. 142",1,,ILA-024
"M.J. Vermaseren, Vigiliae Christianae, IV, 1950, pp. 142-156",1,,ILA-024
"Lane, I, p. 16, no. 11",1,,ILA-024
"Lane, CMRDM I 54",1,,ILA-025
"CIG, 3438",1,,ILA-025
"Keppel, op. cit., II, p. 349-50, no. 5",1,,ILA-025
"Texier, op. cit., p. 136, Pl. 52",1,,ILA-025
"Le Bas-Waddington, op. cit., III, i, p. 212, no. 667",1,,ILA-025
"Daremberg-Saglio, III, ii, p. 1384, fig. 4665",1,,ILA-025
"Drexler, op. cit., col. 2703, no. 14",1,,ILA-025
"Leemans, op. cit., p. 38",1,,ILA-025
"Roscher, op. cit., p. 125d and Pl. II top",1,,ILA-025
"Perdrizet, op. cit., p. 60, no. 1",1,,ILA-025
"F. Cumont, Textes et monuments, Brussels 1899, II, p. 220, fig. 50",1,,ILA-025
"A.B. Cook, Zeus, I, p. 731, fig. 540",1,,ILA-025
"Vermaseren, Vigiliae Christianae, IV, 1950, pp. 142-156",1,,ILA-025
"Herrmann, op. cit., p. 43",1,,ILA-025
"Lane, I, p. 16, no. 12",1,,ILA-025
"Lane, CMRDM I 55",1,,ILA-026
"Herrmann, op. cit., p. 48-9, no. 42, Pl. XIII, no. 3",1,,ILA-026
"Lane, I, p. 51, no. A8",1,,ILA-026
"Lane, CMRDM I 56",1,,ILA-027
"Buresch, Reisebericht II, p. 96f.",1,,ILA-027
"Buresch, Aus Lydien, p. 85, no. 41",1,,ILA-027
"Lane, I, p. 18, no. 23",1,,ILA-027
"Lane, CMRDM I 57",1,,ILA-028
"Herrmann, op. cit., p. 39, no. 27, Pl. IX, no. 6",1,,ILA-028
"Robert, REG, LXXVI, 1963, p. 167, no. 225",1,,ILA-028
"Lane, I, p. 51, no. A3",1,,ILA-028
"Lane, CMRDM I 58",1,,ILA-029
"CIG, 3442",1,,ILA-029
"Keppel, op. cit., II, p. 346, no. 1",1,,ILA-029
"W.J. Hamilton, Researches in Asia Minor, Pontus, and Armenia, 1842, II, p. 467-8, no. 340",1,,ILA-029
"Drexler, op. cit., col. 2701, no. 5",1,,ILA-029
"Perdrizet, op. cit., p. 58, bottom, no. 1",1,,ILA-029
"Steinleitner, op. cit., p. 34, no. 10",1,,ILA-029
"Lane, I, p. 15, Lydia, no. 5",1,,ILA-029
"Lane, CMRDM I 59",1,,ILA-030
"Mouseion kai Bibliotheke, III, 1-2, 1880, p. 127, no. 165",1,,ILA-030
"Foucart, BCH, IV, 1880, p. 128",1,,ILA-030
"Drexler, op. cit., col. 2703, no. 15",1,,ILA-030
"Reinach, RA, 1885, II, p. 107 and 1886, I, p. 156",1,,ILA-030
"Leemans, op. cit., p. 39",1,,ILA-030
"Perdrizet, op. cit., p. 58, middle, no. 1",1,,ILA-030
"Dittenberger, SIG³, no. 1142",1,,ILA-030
"Lane, I, p. 17, no. 13",1,,ILA-030
"Lane, CMRDM I 60",1,,ILA-031
"Drexler, op. cit., col. 2703, no. 17",1,,ILA-031
"Leemans, op. cit., p. 8-9, no. 3 and Pl. I, no. 3",1,,ILA-031
"Kontoleon, AM, XII, 1887, p. 255, no. 19",1,,ILA-031
"Polak, Mnemosyne, XV, 1887, p. 252ff., no. 3",1,,ILA-031
"Hicks, Classical Review, III, 1889, p. 69, no. 1",1,,ILA-031
"Perdrizet, op. cit., p. 57, no. 2",1,,ILA-031
"H.W. Pleket, Greek Inscriptions in the Rijksmuseum van Oudheden, Pl. XIV and Appendix II, no. 3",1,,ILA-031
"Lane, I, p. 17, no. 15",1,,ILA-031
"Lane, CMRDM I 61",1,,ILA-032
"Mouseion kai Bibliotheke, III, i-ii, 1880, p. 162, no. τκς'",1,,ILA-032
"Drexler, op. cit., col. 2704, no. 20",1,,ILA-032
"W. Fröhner, Philologus, Supplement V, 1889, p. 26, no. 25",1,,ILA-032
"Ramsay, JHS, X, 1889, p. 227, no. 24",1,,ILA-032
"Perdrizet, op. cit., p. 57, no. 1",1,,ILA-032
"Buresch, Aus Lydien, p. 87",1,,ILA-032
"Kontoleon, REG, XIV, 1901, p. 302, no. 2",1,,ILA-032
"Steinleitner, op. cit., p. 36, no. 11",1,,ILA-032
"Lane, I, p. 17, no. 17",1,,ILA-032
"Lane, CMRDM I 62",1,,ILA-033
"Mouseion kai Bibliotheke, III, 1-2, 1880, p. 158, no. τιε'",1,,ILA-033
"A. Papadopoulos-Kerameus, AM, VI, 1881, p. 273-4, no. 23",1,,ILA-033
"Drexler, op. cit., col. 2702, no. 11",1,,ILA-033
"Perdrizet, op. cit., p. 59, no. 2",1,,ILA-033
"Steinleitner, op. cit., p. 33, no. 9",1,,ILA-033
"Lane, I, p. 16, no. 9",1,,ILA-033
"Lane, CMRDM I 63",1,,ILA-034
"Drexler, op. cit., col. 2704",1,,ILA-034
"*M.F.A.B. 18th Annual Report, 1894, p. 20",1,,ILA-034
"Archäologischer Anzeiger, IX, 1894, p. 95",1,,ILA-034
"Reinach, RA, 1894, II, p. 117",1,,ILA-034
"Wright, HSCP, VI, 1895, p. 56, Pl. II",1,,ILA-034
"Bulletin MFAB, LVI, 1958, p. 72",1,,ILA-034
"Lane, I, pp. 17-18, no. 19",1,,ILA-034
"Lane, CMRDM I 64",1,,ILA-035
"Schlumberger, Gazette Archéologique, VI, 1880, p. 191ff., Pl. XXXII",1,,ILA-035
"Drexler, op. cit., col. 2704-5",1,,ILA-035
"Zeitschrift für Numismatik, XIV, 1888, pp. 375-77",1,,ILA-035
"Roscher, op. cit., p. 125b and Pl. III",1,,ILA-035
"Smirnoff, op. cit., p. 119, fig. 3",1,,ILA-035
"Perdrizet, op. cit., p. 59",1,,ILA-035
"Lane, I, p. 19, no. 29",1,,ILA-035
"Lane, CMRDM I 65",1,,ILA-036
"Herrmann, op. cit., p. 46, no. 39, Pl. XII, no. 1",1,,ILA-036
"Lane, I, p. 51, no. A5",1,,ILA-036
"Lane, CMRDM I 66",1,,ILA-037
"Herrmann, op. cit., p. 47, no. 41 and Plate XII, no. 3",1,,ILA-037
"Lane, I, p. 51, no. A7",1,,ILA-037
"Lane, CMRDM I 67",1,,ILA-038
"Drexler, op. cit., col. 2702, no. 10",1,,ILA-038
"Buresch, Reisebericht II, p. 98f.",1,,ILA-038
"Perdrizet, op. cit., p. 57, no. 4",1,,ILA-038
"Buresch, Aus Lydien, p. 111, no. 53",1,,ILA-038
"Ramsay, Classical Review, XIII, 1899, p. 142",1,,ILA-038
"Steinleitner, op. cit., p. 29, no. 8",1,,ILA-038
"Lane, I, p. 16, no. 8",1,,ILA-038
"Lane, CMRDM I 68",1,,ILA-039
"Herrmann, op. cit., p. 49, no. 43, Plate XIII, no. 2",1,,ILA-039
"Lane, I, p. 52, no. A9",1,,ILA-039
"Lane, CMRDM I 70",1,,ILA-040
"Herrmann, op. cit., p. 58-9, no. 53, Plate XV, no. 4",1,,ILA-040
"Lane, CMRDM I 71",1,,ILA-041
"Herrmann, op. cit., p. 59, no. 55, Plate XVI, no. 3",1,,ILA-041
"Lane, I, p. 52, no. A12",1,,ILA-041
"Lane, CMRDM I 72",1,,ILA-042
"Herrmann, op. cit., p. 45, no. 38",1,,ILA-042
"Robert, REG, LXXVI, 1963, p. 167-8, no. 227",1,,ILA-042
